businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,北京阿博茨科技有限公司,129068,阿博茨科技,150-500人,2019-09-20 10:18:38,雨花台区,本科,B轮,移动互联网,实施经理（RPA） (MJ000257),15k-25k
"['朝天宫', '止马营', '汉中路']",北京掌众科技有限公司,51649,掌众集团,500-2000人,2019-09-19 14:52:59,秦淮区,不限,C轮,"移动互联网,金融",爬虫工程师,13k-18k
,成都冰鉴信息科技有限公司,364616,冰鉴科技,150-500人,2019-09-05 18:03:24,鼓楼区,本科,B轮,"移动互联网,金融",自动化测试工程师,8k-14k
"['安德门', '铁心桥']",南京辰阔网络科技有限公司,411021,辰阔网络,50-150人,2019-09-20 16:12:57,雨花台区,本科,不需要融资,"移动互联网,电商",建模分析师（风控）,13k-26k
"['上海路', '南大', '广州路']",华扬联众数字技术股份有限公司西安分公司,57628,华扬联众全国数据技术中心（HDTC）,2000人以上,2019-09-10 16:39:34,鼓楼区,本科,不需要融资,"数据服务,文娱丨内容",爬虫工程师,7k-13k
['尧化'],中国信息通信研究院,114603,中国信通院,2000人以上,2019-09-09 09:35:18,栖霞区,本科,不需要融资,通讯电子,云计算运维工程师,8k-10k
,南京信云智能制造科技有限公司,512068,信云智能,少于15人,2019-09-07 17:47:11,江宁区,本科,天使轮,硬件,数据库架构/开发工程师,25k-35k
"['南师大', '广州路', '宁海路']",南京君合创胜数据科技有限责任公司,267423,君合创胜,500-2000人,2019-09-20 16:31:37,鼓楼区,本科,不需要融资,"企业服务,移动互联网",运维工程师,8k-15k
,维沃移动通信有限公司,19875,vivo,2000人以上,2019-09-12 14:30:46,雨花台区,本科,未融资,硬件,软件测试工程师(004165),15k-25k
['尧化'],中国信息通信研究院,114603,中国信通院,2000人以上,2019-09-09 09:35:19,栖霞区,本科,不需要融资,通讯电子,人工智能硬件测试工程师,7k-14k
,维沃移动通信有限公司,19875,vivo,2000人以上,2019-09-12 14:30:47,雨花台区,本科,未融资,硬件,AI测试工程师(003781),20k-30k
['宁南'],迪原创新（北京）科技有限公司南京分公司,81354,Dilato,150-500人,2019-09-17 18:12:15,雨花台区,本科,未融资,"移动互联网,企业服务",软件测试经理,10k-13k
['奥体'],杭州丈浔科技有限公司,66574,丈浔科技,50-150人,2019-09-19 10:14:22,建邺区,本科,未融资,"移动互联网,数据服务",数据挖掘工程师,20k-35k
,孩子王儿童用品股份有限公司,31945,孩子王,2000人以上,2019-09-16 10:59:28,江宁区,本科,C轮,消费生活,数据挖掘,15k-30k
,趋势科技(中国)有限公司,8378,趋势科技,2000人以上,2019-09-19 09:20:11,雨花台区,本科,上市公司,信息安全,资深移动开发工程师（Android）-TMMS,15k-25k
['东山'],深圳追一科技有限公司,117189,追一科技,150-500人,2019-09-10 15:01:24,江宁区,不限,C轮,"移动互联网,企业服务",机器学习算法研究员（南京） (MJ000179),15k-30k
"['安德门', '铁心桥']",卓尔智联集团有限公司,491975,卓尔智联集团有限公司,2000人以上,2019-09-20 11:16:50,雨花台区,本科,上市公司,"移动互联网,电商",HB-数据分析师-南京,6k-12k
,北京小米科技有限责任公司,520,小米,2000人以上,2019-09-17 15:18:17,建邺区,本科,D轮及以上,硬件,高级数据分析师,18k-35k
,北京满运物流信息有限公司,82347,运满满,2000人以上,2019-08-26 08:49:57,雨花台区,本科,D轮及以上,物流丨运输,数据分析工程师,11k-19k
"['小行', '宁南']",武汉佰钧成技术有限责任公司,16831,武汉佰钧成技术有限公司,2000人以上,2019-09-18 15:27:08,雨花台区,本科,不需要融资,移动互联网,测试工程师,6k-12k
,南京新联电子股份有限公司,90338,新联电子,500-2000人,2019-09-17 14:41:01,江宁区,本科,上市公司,"移动互联网,其他",架构师（大数据）,15k-25k
"['安德门', '铁心桥']",卓尔智联集团有限公司,491975,卓尔智联集团有限公司,2000人以上,2019-09-20 11:16:50,雨花台区,本科,上市公司,"移动互联网,电商",HB-高级数据分析师-南京,15k-25k
['安德门'],南京杰谱企业管理咨询有限公司,408474,南京杰谱企业管理咨询有限公司,150-500人,2019-08-30 11:23:33,雨花台区,硕士,未融资,人工智能,图像算法工程师,7k-12k
,南京道成网络科技有限公司,98419,道成科技,15-50人,2019-09-20 13:37:23,雨花台区,本科,不需要融资,"移动互联网,信息安全",高级Android开发工程师,11k-22k
,江苏德亚智能科技股份有限公司,368971,江苏德亚,15-50人,2019-09-04 16:27:34,浦口区,本科,C轮,硬件,图像算法工程师,20k-30k
,南京赛宁信息技术有限公司,109596,南京赛宁,50-150人,2019-09-20 10:52:43,江宁区,本科,A轮,信息安全,Openstack开发工程师,15k-25k
,北京嘀嘀无限科技发展有限公司,2474,滴滴,2000人以上,2019-09-10 12:18:02,鼓楼区,本科,不需要融资,汽车丨出行,资深运营专家-南京(J190906015),20k-25k
"['大光路', '大行宫']",北京北森云计算股份有限公司,47323,北森云计算,500-2000人,2019-09-04 16:14:18,秦淮区,本科,上市公司,企业服务,2019自动化测试工程师（南京）,10k-15k
