businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,八维通科技有限公司,169771,八维通科技,150-500人,2019-09-19 19:12:59,高新区,本科,A轮,移动互联网,运维工程师（成都）,8k-16k
,四川驹马科技有限公司,115625,驹马科技,2000人以上,2019-09-20 11:57:17,锦江区,本科,C轮,"移动互联网,其他",前端工程师,10k-20k
['跳伞塔'],四川万益能源科技有限公司,168812,万益能源,50-150人,2019-09-19 10:34:10,武侯区,本科,不需要融资,"企业服务,数据服务",运维开发工程师,8k-15k
,四川生学教育科技有限公司,98121,生学教育,150-500人,2019-09-05 10:48:34,高新区,本科,A轮,"移动互联网,教育",大数据开发工程师,10k-20k
,成都盈海益讯科技有限公司,201743,几维安全,15-50人,2019-09-16 10:33:18,高新区,本科,A轮,移动互联网,Linux开发工程师,15k-25k
,支付宝（杭州）信息技术有限公司,153849,蚂蚁金服集团,2000人以上,2019-09-09 09:33:41,高新区,本科,B轮,"金融,移动互联网",高级数据研发工程师/专家,18k-36k
,时时同云科技（成都）有限责任公司,242106,时时同云科技（成都）有限责任公司,2000人以上,2019-09-04 17:58:21,高新区,本科,C轮,"移动互联网,消费生活",安全开发工程师(J13133),15k-26k
,成都星罗互动科技有限公司,234483,星罗互动,50-150人,2019-09-20 14:26:38,高新区,大专,未融资,游戏,C++服务器开发工程师（网络游戏）,6k-12k
,北京创锐文化传媒有限公司,53,聚美优品,2000人以上,2019-09-19 11:06:37,高新区,本科,上市公司,电商,运维开发工程师,15k-25k
,北京神州绿盟信息安全科技股份有限公司,30648,绿盟科技,500-2000人,2019-09-16 11:56:45,高新区,本科,上市公司,信息安全,C/C++研发工程师（成都）-NTA,10k-15k
,四川新网银行股份有限公司,166084,新网银行,150-500人,2019-08-28 17:26:18,高新区,硕士,不需要融资,金融,大数据开发工程师,13k-26k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:48:48,高新区,本科,C轮,文娱丨内容,运维研发工程师,30k-60k
['桂溪'],四川上和国际医院管理股份有限公司,492454,上和国际,150-500人,2019-09-20 10:56:05,锦江区,大专,未融资,"移动互联网,医疗丨健康",java开发工程师,10k-20k
,腾讯科技（深圳）有限公司,451,腾讯,2000人以上,2019-09-19 13:39:36,武侯区,本科,上市公司,社交,WXG-企业邮箱技术支持工程师,30k-60k
,成都数之联科技有限公司,58647,成都数之联科技有限公司,150-500人,2019-09-16 16:42:45,高新区,硕士,B轮,"移动互联网,数据服务",算法工程师（智慧工业方向）,15k-25k
,成都尼毕鲁科技股份有限公司,6868,tap4fun,500-2000人,2019-09-11 14:55:06,高新区,本科,不需要融资,游戏,SDK开发工程师,15k-30k
